"Program: Program Name","Program: ID","Evidence Based","Services Provided in Other Languages","Service Provided in Other Languages Yes/No"
"Autism Unbound","a013t000014vIVM","0","NA",NA
"Higher Ground","a013t000014vIVN","0","NA",NA
"Food Pantry","a013t000014vIVO","0","NA",NA
"Behavioral Health Urgent Care/Greensboro Bellemeade Crisis Center","a013t000014vIVP","0","NA",NA
"HIV/STI Testing","a013t000014vIVQ","0","NA",NA
"Sandhills Center","a013t000014vIU9","0","NA",NA
"WIC","a013t000014vIUA","0","Yes",NA
"Cone Health Behavioral Health - Partial Hospitalization","a013t000014vIUB","0","NA",NA
"Food and Nutrition Services (Food Stamps)","a013t000014vIVR","0","NA",NA
"Greensboro Housing Coalition","a013t000014vIVS","0","Yes",NA
"Child Care Search Tool","a013t000014vIVT","0","NA",NA
"Boys and Girls Club at Reynolds Unit","a013t000014vIVU","0","NA",NA
"Family Success Center","a013t000014vIVV","0","No",NA
"Fairview Family Resource Center","a013t000014vIVW","0","NA",NA
"Blessed Table Food Pantry","a013t000014vIVX","0","NA",NA
"Restoration Place Counseling","a013t000014vIVY","0","NA",NA
"Emergency Assistance - The Salvation Army","a013t000014vIVZ","0","NA",NA
"Al-Anon Alateen of Greensboro/High Point NC","a013t000014vIUC","0","No",NA
"DWI Assessments/Treatment","a013t000014vIUD","0","NA",NA
"Nurse-Family Partnership","a013t000014vIUE","1","Yes",NA
"RHA Behavioral Health Clinic","a013t000014vIUF","0","NA",NA
"Outpatient Therapy","a013t000014vIUG","0","NA",NA
"Womens Health","a013t000014vIUH","0","Spanish interperters",NA
"Medicaid Transportation","a013t000014vIUI","0","Spanish",NA
"Boys and Girls Club at Teen Center","a013t000014vIUJ","0","NA",NA
"Family Justice Center","a013t000014vIUK","0","Yes",NA
"Family Solutions","a013t000014vIVa","1","NA",NA
"Reading Connections","a013t000014vIVb","0","Yes",NA
"Mustard Seed Community Health","a013t000014vIVc","0","NA",NA
"Guilford Family Connects","a013t000014vIVd","0","Yes",NA
"Partnering for Healthy Parenting","a013t000014vIVe","0","NA",NA
"Cone Health Behavioral Health - Adolescent Intensive Outpatient Program","a013t000014vIVf","1","NA",NA
"Adolescent Parenting Program","a013t000014vIVg","0","Yes",NA
"Intensive In Home Services","a013t000014vIVh","0","NA",NA
"Glen Haven Community Center","a013t000014vIVi","0","Yes",NA
"Partnership Villiage","a013t000014vIVj","0","NA",NA
"Caring Services Inc","a013t000014vIVk","0","NA",NA
"HealthySteps","a013t000014vIVl","0","NA",NA
"Healthy Start","a013t000014vIVm","0","Yes",NA
"Greensboro Housing Authority","a013t000014vIVn","0","NA",NA
"High Point Center for Child Wellness","a013t000014vIVo","0","NA",NA
"Cooperative Extension","a013t000014vIVp","0","NA",NA
"Mobile Crisis","a013t000014vIVq","0","NA",NA
"Greensboro Public Libraries","a013t000014vIVr","0","Yes",NA
"Mended Hearts Counseling","a013t000014vIVs","0","NA",NA
"Womens Resource Center of Greensboro","a013t000014vIVt","0","no",NA
"Legal Aid of NC","a013t000014vIVu","0","NA",NA
"Food Pantry","a013t000014vIVv","0","NA",NA
"Furniture Program","a013t000014vIVw","0","NA",NA
"Greensboro Transit Agency","a013t000014vIVx","0","NA",NA
"Legacy Crossing Community Center","a013t000014vIVy","0","Yes",NA
"Greensboro HEALS","a013t000014vIVz","1","Bilingual staff on-site",NA
